MrotInHour,Salary,Class
7,15440,1
6,23028,1
13,6854,1
4,16967,1
13,6325,1
11,15802,1
5,7291,1
7,23477,1
3,4794,1
8,1802,0
7,14828,1
12,5370,0
2,17741,1
12,3157,0
12,8406,1
6,7625,1
7,19299,1
11,14938,1
13,15628,1
9,23122,1
14,3243,0
5,21421,1
7,22790,1
6,10547,1
4,8411,1
7,5628,1
3,3961,1
9,6453,1
6,7409,1
14,10923,1
13,11786,1
5,24012,1
5,4651,1
12,11804,1
14,13341,1
7,4191,1
13,6613,1
9,4548,1
8,13798,1
9,7178,1
13,23840,1
12,21963,1
12,11957,1
6,10837,1
11,14685,1
2,3763,1
10,10419,1
12,5626,0
2,14588,1
14,17333,1
10,8465,1
7,14661,1
11,13786,1
8,4365,1
10,4263,0
4,3003,1
12,14871,1
3,5273,1
7,23419,1
11,3656,0
2,19136,1
11,20420,1
13,21031,1
13,6774,1
3,6311,1
11,20262,1
4,10672,1
12,18305,1
7,12918,1
6,3542,1
8,13818,1
7,14825,1
7,15319,1
4,19480,1
9,657,0
7,3304,0
8,5176,1
6,16880,1
6,20489,1
4,20436,1
11,1135,0
10,21334,1
5,10867,1
2,17573,1
12,13047,1
7,3272,0
8,22592,1
12,15032,1
7,3236,0
12,22109,1
3,14166,1
9,9718,1
5,20049,1
2,8463,1
3,11964,1
3,15776,1
13,10766,1
2,18232,1
7,3391,1
13,22526,1
14,18882,1
6,6821,1
4,17851,1
11,1774,0
3,7663,1
6,3512,1
2,3363,1
12,14416,1
6,9788,1
13,11174,1
11,2718,0
6,20526,1
2,6494,1
8,16763,1
3,12626,1
13,10909,1
3,5386,1
7,9888,1
11,18482,1
8,16833,1
13,3178,0
8,6268,1
3,8279,1
3,10776,1
9,17055,1
3,542,0
6,22207,1
6,4781,1
5,9811,1
12,11912,1
12,9798,1
4,5127,1
6,16852,1
7,1746,0
10,23760,1
13,8410,1
14,8772,1
7,9034,1
5,11073,1
6,15982,1
12,22909,1
2,15610,1
4,4149,1
9,13627,1
12,20691,1
5,11385,1
6,7339,1
2,23085,1
10,24633,1
13,18780,1
13,5138,0
4,10588,1
